index,raw_X,local_X,Z,C_unwrapped,pass_id
2,49.9393,49.9393,0.0422,-90.0,1
82,46.1309,46.1309,4.0398,-381.4517,1
162,45.2976,45.2976,3.6943,-681.832,1
242,44.4486,44.4486,3.2746,-987.8415,1
322,43.5832,43.5832,2.8322,-1299.8089,1
402,42.7002,42.7002,2.4063,-1618.0964,1
482,41.7985,41.7985,2.02,-1943.1043,1
562,40.877,40.877,1.683,-2275.2774,1
642,39.9343,39.9343,1.3964,-2615.1112,1
722,38.9687,38.9687,1.1562,-2963.1617,1
802,37.9786,37.9786,0.9564,-3320.0552,1
882,36.962,36.962,0.791,-3686.502,1
962,35.9167,35.9167,0.6541,-4063.3129,1
1042,34.84,34.84,0.5408,-4451.4203,1
1122,33.729,33.729,0.4467,-4851.9054,1
1202,32.5801,32.5801,0.3684,-5266.0337,1
1282,31.3892,31.3892,0.303,-5695.3022,1
1362,30.1514,30.1514,0.2483,-6141.5035,1
1442,28.8605,28.8605,0.2024,-6606.8146,1
1522,27.5092,27.5092,0.1638,-7093.9233,1
1602,26.088,26.088,0.1313,-7606.2132,1
1682,24.5849,24.5849,0.1039,-8148.046,1
1762,22.9837,22.9837,0.0809,-8725.2097,1
1842,21.2624,21.2624,0.0614,-9345.6719,1
1922,19.3891,19.3891,0.0452,-10020.9375,1
2002,17.3146,17.3146,0.0316,-10768.7367,1
2082,14.9555,14.9555,0.0205,-11619.0994,1
2162,12.1478,12.1478,0.0115,-12631.18,1
2242,8.4584,8.4584,0.0045,-13961.0899,1
2328,239.9437,42.94370000000001,0.8599,-16652.7222,2
2408,239.9141,42.91409999999999,0.8546,-16865.9902,2
2488,239.8845,42.8845,0.8493,-17079.4053,2
2568,239.8549,42.85489999999999,0.8438,-17292.9678,2
2648,239.8253,42.8253,0.8382,-17506.678,2
2728,239.7956,42.79560000000001,0.8324,-17720.5362,2
2808,239.7659,42.76589999999999,0.8264,-17934.5428,2
2888,239.7362,42.7362,0.8202,-18148.6981,2
2968,239.7065,42.706500000000005,0.8136,-18363.0023,2
3048,239.6767,42.67670000000001,0.8071,-18577.4557,2
3128,239.647,42.64699999999999,0.799,-18792.0588,2
3208,239.6172,42.6172,0.7919,-19006.8117,2
